#{"t_start": 1726061251.2305317, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
898.9,1000,6.154263,0.02,0.044497041420118344
857.7,1000,9.382084,0.051,0.1009794776119403
863.7,1000,12.603433,0.046,0.0980952380952381
845.6,1000,16.131836,0.056,0.1183345507669832
867.3,1000,19.697423,0.047,0.09635173058933583
872.3,1000,23.257924,0.042,0.08265234648610786
850.5,1000,27.635692,0.055,0.11880261927034612
864.7,1000,31.409071,0.046,0.09793201806512955
840.2,1000,35.441564,0.057,0.11970313622216902
866.3,1000,39.190622,0.046,0.09970958373668926
836.7,1000,42.865516,0.061,0.13404452690166976
881.5,1000,46.308625,0.037,0.08325404376784015
878.4,1000,49.811764,0.039,0.08703923900118907
839.2,1000,53.24408,0.061,0.13379114373668008
861.3,1000,56.758584,0.047,0.10744398940014455
858.4,1000,60.257307,0.05,0.10183908045977011
847.0,1000,63.760791,0.057,0.12797690642290113
874.3,1000,67.277568,0.041,0.08732116428219043
884.1,1000,71.078314,0.035,0.07058266224538133
872.6,1000,74.61281,0.042,0.09040899306386033
870.4,1000,78.110307,0.044,0.09299065420560748
858.4,1000,82.010924,0.05,0.10548134500230309
881.5,1000,85.309453,0.038,0.08793792616976252
852.6,1000,88.828171,0.053,0.11074301940369144
864.8,1000,92.54365,0.047,0.10335917312661498
878.6,1000,95.910844,0.038,0.07522980164489598
863.1,1000,99.440797,0.048,0.09754980535836959
859.0,1000,103.074847,0.048,0.1063046479521399
851.6,1000,106.46026,0.053,0.11750881316098707
868.9,1000,110.109855,0.043,0.0979381443298969
889.5,1000,113.751411,0.032,0.06687365655600669
856.6,1000,117.191415,0.05,0.11185889997679276
835.9,1000,120.877897,0.062,0.11520837879118481
849.2,1000,124.536681,0.057,0.12111368909512761
862.8,1000,127.799953,0.048,0.1013277428371768
825.6,1000,131.440054,0.066,0.14323607427055704
853.7,1000,135.259484,0.051,0.106539309331374
866.9,1000,139.030406,0.044,0.0957272939528368
839.9,1000,142.692298,0.058,0.12718144872101364
862.7,1000,146.191303,0.047,0.10521212121212122
873.3,1000,149.951441,0.042,0.08873720136518772
845.9,1000,153.627549,0.056,0.12390636084180658
853.9,1000,157.129911,0.053,0.10801646887866312
897.2,1000,160.891862,0.029,0.0644855381697487
883.8,1000,164.574375,0.036,0.08183776022972003
813.0,1000,167.810928,0.072,0.14889196675900276
836.1,1000,171.394255,0.059,0.11985277202668507
893.4,1000,174.933935,0.031,0.07117969138875062
858.7,1000,178.509719,0.049,0.10506741050674105
884.5,1000,182.141768,0.035,0.0799607554574442
853.6,1000,185.592384,0.052,0.10816420664206643
878.8,1000,189.1748,0.041,0.08996872744767861
879.3,1000,193.077801,0.039,0.08496577767288176
825.9,1000,196.527989,0.067,0.14009774261112404
847.1,1000,200.076673,0.057,0.13488142292490118
842.1,1000,203.843801,0.056,0.11583544012870604
857.1,1000,207.311193,0.05,0.1039869433434367
868.9,1000,210.961728,0.045,0.10164497913086178
880.7,1000,214.744791,0.038,0.08407827977772409
859.9,1000,218.047091,0.047,0.10499419279907085
880.5,1000,221.810833,0.037,0.08693575352280869
857.0,1000,225.444661,0.05,0.10701275045537341
835.6,1000,229.084361,0.061,0.13668898637728008
860.8,1000,232.625841,0.048,0.106353591160221
859.9,1000,236.069305,0.049,0.09754969949144707
854.7,1000,240.111175,0.052,0.11557417447018235
855.2,1000,244.156689,0.054,0.11413929652923363
833.7,1000,247.90915,0.063,0.12685560053981107
862.3,1000,251.625425,0.048,0.10400763358778627
854.8,1000,255.216996,0.052,0.11324330727315803
864.7,1000,258.576438,0.047,0.09872029250457039
878.2,1000,262.218421,0.038,0.08809929423217328
886.1,1000,266.050657,0.035,0.07979468035464303
867.4,1000,269.942151,0.046,0.10231660231660232
