#{"t_start": 1726061248.9406419, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
920.3,1000,8.445155,0.009,0.021301775147928994
839.8,1000,11.670972,0.059,0.12826492537313433
845.4,1000,14.893323,0.056,0.12333333333333334
853.5,1000,18.421726,0.053,0.12466520574628683
877.1,1000,21.987312,0.04,0.08676333021515435
863.6,1000,25.547814,0.046,0.09829558720522998
839.9,1000,29.926158,0.06,0.12207670720299345
860.9,1000,33.698961,0.049,0.09888281435702401
852.7,1000,37.731454,0.052,0.11874551113239167
807.7,1000,41.480512,0.076,0.16868344627299128
875.0,1000,45.155406,0.042,0.09322820037105752
854.3,1000,48.598515,0.051,0.10371075166508087
872.0,1000,52.101654,0.044,0.09845422116527942
848.6,1000,55.53397,0.054,0.10395453469097798
889.4,1000,59.047332,0.031,0.06889906046735726
840.0,1000,62.547196,0.059,0.12
883.0,1000,66.050681,0.037,0.07986528746692326
840.2,1000,69.567458,0.059,0.12876171682289098
852.0,1000,73.368204,0.054,0.11795357650402653
799.4,1000,76.9027,0.081,0.17436020090887347
833.5,1000,80.400197,0.065,0.14205607476635515
815.7,1000,84.297797,0.071,0.13933671119299862
860.1,1000,87.599343,0.048,0.10580766517752174
888.9,1000,91.11806,0.034,0.07477520113582584
869.7,1000,94.833539,0.044,0.09772140004698145
879.2,1000,98.200734,0.04,0.08587324625060475
849.6,1000,101.730686,0.054,0.11403709640485458
849.0,1000,105.364737,0.054,0.10929590427979752
854.7,1000,108.75015,0.05,0.11468860164512339
868.2,1000,112.399745,0.044,0.10028116213683223
868.3,1000,116.041301,0.042,0.09457845712920945
857.5,1000,119.481305,0.049,0.10977024831747505
833.9,1000,123.167787,0.064,0.1267728562077242
855.3,1000,126.826571,0.052,0.10904872389791183
858.6,1000,130.089843,0.048,0.09736780805963195
846.8,1000,133.729944,0.056,0.12056908608632746
875.5,1000,137.549373,0.04,0.09012980651481754
873.9,1000,141.320296,0.041,0.08545412094326407
854.8,1000,144.982188,0.052,0.11355486492947645
840.8,1000,148.482726,0.057,0.12218181818181818
860.5,1000,152.240367,0.048,0.0987485779294653
860.9,1000,155.917439,0.05,0.10688105935209269
846.3,1000,159.419801,0.056,0.12254783240494066
825.8,1000,163.181752,0.066,0.14414414414414414
873.9,1000,166.863172,0.039,0.0832735104091888
823.5,1000,170.09874,0.068,0.14081255771006462
856.6,1000,173.684145,0.05,0.10536001840349667
884.7,1000,177.223825,0.033,0.08063713290194126
852.9,1000,180.799609,0.052,0.11250581125058112
828.1,1000,184.431658,0.065,0.1456953642384106
879.4,1000,187.882273,0.039,0.08440959409594095
848.2,1000,191.46469,0.055,0.12364686071686312
857.0,1000,195.367691,0.05,0.1062072220911022
878.8,1000,198.817879,0.038,0.08424482196881546
891.7,1000,202.366563,0.033,0.07633399209486166
844.7,1000,206.133691,0.057,0.11997242013330268
869.3,1000,209.601083,0.043,0.09186290510608533
860.0,1000,213.251618,0.048,0.11048367296832802
818.9,1000,217.034681,0.072,0.15655955544817587
882.9,1000,220.336981,0.035,0.07595818815331011
856.3,1000,224.100723,0.05,0.1060425125388106
843.8,1000,227.734551,0.057,0.12067395264116576
862.6,1000,231.37425,0.048,0.10390210113137843
847.0,1000,234.915731,0.057,0.11694290976058933
854.4,1000,238.359195,0.052,0.10679611650485436
863.5,1000,242.400064,0.046,0.10448496796451454
858.4,1000,246.446579,0.05,0.10482180293501048
843.4,1000,250.199039,0.058,0.11560953666216824
878.4,1000,253.915314,0.038,0.08778625954198473
886.6,1000,257.506886,0.035,0.07296849087893864
869.1,1000,260.866328,0.045,0.09597806215722121
869.9,1000,264.508311,0.045,0.09637381357994645
885.0,1000,268.340546,0.037,0.08072795146990201
857.6,1000,272.232041,0.051,0.1085907335907336
877.8,1000,276.34923,0.037,0.08619464835425053
865.2,1000,280.265769,0.046,0.09891150023663038
849.2,1000,284.21787,0.053,0.11108456760630674
849.1,1000,288.098806,0.054,0.11630079402148528
852.6,1000,291.867607,0.051,0.11403508771929824
845.2,1000,295.481852,0.058,0.11984930539204144
852.6,1000,299.221554,0.051,0.11994149195514384
863.8,1000,303.001388,0.048,0.10356422326832548
873.3,1000,306.6638,0.041,0.08822846528906432
847.4,1000,310.433757,0.055,0.11934731934731935
905.1,1000,314.37359,0.025,0.05436125525080306
869.8,1000,318.078637,0.044,0.09539320614239181
835.7,1000,321.848983,0.062,0.1329711856400567
851.2,1000,325.800915,0.052,0.11326860841423948
846.8,1000,329.816973,0.057,0.11785714285714285
846.1,1000,333.942372,0.058,0.11984841307437233
857.8,1000,337.690902,0.051,0.11045551097474628
862.5,1000,341.448199,0.049,0.10401891252955082
874.8,1000,345.207156,0.042,0.09798816568047337
842.5,1000,349.058852,0.06,0.12473015111537539
871.9,1000,352.741123,0.047,0.10023419203747072
867.3,1000,356.513808,0.047,0.10372465818010372
860.6,1000,360.265434,0.05,0.11469009272816008
898.8,1000,364.181399,0.032,0.06434699714013346
871.4,1000,367.784479,0.045,0.0905122903744544
868.7,1000,371.532087,0.046,0.0975609756097561
883.2,1000,375.666104,0.039,0.0865979381443299
839.3,1000,379.517813,0.061,0.12277940184393973
886.9,1000,383.259512,0.038,0.08488316642823081
884.8,1000,387.132847,0.04,0.08974048023284016
887.2,1000,390.783431,0.038,0.08421559191530317
910.2,1000,394.934909,0.027,0.060689655172413794
918.9,1000,398.449252,0.023,0.05055292259083728
896.7,1000,402.157707,0.033,0.07807512889761846
894.1,1000,406.082412,0.037,0.07433380084151472
860.7,1000,409.732136,0.053,0.09873847646773411
859.1,1000,413.625456,0.055,0.11449480642115203
893.4,1000,417.282624,0.037,0.0780532598714417
930.3,1000,421.033049,0.017,0.04101326899879373
891.1,1000,424.974369,0.039,0.08569515733095291
899.9,1000,428.733577,0.034,0.07075471698113207
896.5,1000,432.58527,0.035,0.07806513409961686
887.3,1000,436.884806,0.039,0.07290264692687304
911.4,1000,440.819765,0.029,0.06521217933349317
889.7,1000,444.791355,0.038,0.08360732738374824
878.6,1000,448.565836,0.046,0.09541984732824428
932.0,1000,452.759383,0.016,0.03558547727819187
885.1,1000,456.683532,0.044,0.09082217973231357
916.4,1000,460.480757,0.025,0.06028454304316373
902.7,1000,464.532743,0.033,0.07121247381894345
925.0,1000,468.224285,0.022,0.04247708473060586
904.4,1000,471.916991,0.032,0.07040913415794481
871.8,1000,475.966008,0.047,0.09543473273686626
910.5,1000,479.73956,0.029,0.06695885074263452
944.3,1000,483.616361,0.012,0.02608065684617242
904.8,1000,487.385025,0.032,0.071205945816351
903.2,1000,490.997831,0.033,0.07015032211882606
931.6,1000,494.997705,0.018,0.038350910834132314
872.1,1000,498.782959,0.05,0.10667271901951884
916.4,1000,502.601854,0.025,0.05100095328884652
894.4,1000,506.48571,0.038,0.07704654895666131
926.4,1000,510.333331,0.022,0.052618990672088015
918.6,1000,514.503801,0.025,0.053741023859161456
922.3,1000,518.168076,0.022,0.04080188679245283
918.0,1000,521.98237,0.025,0.05407925407925408
893.3,1000,525.999672,0.038,0.07909477929643738
942.2,1000,530.051825,0.014,0.027893320283826767
918.4,1000,533.947533,0.026,0.057714684663718874
856.8,1000,537.499499,0.057,0.11083238312428734
932.5,1000,541.266108,0.018,0.04164672091910005
924.6,1000,545.284795,0.023,0.04930662557781202
913.0,1000,549.274526,0.03,0.07139388052452647
936.9,1000,553.282753,0.019,0.03969327920613441
926.9,1000,557.21272,0.022,0.049653855335402244
867.6,1000,560.967639,0.054,0.11586331749264539
896.2,1000,564.767119,0.039,0.07816462992852202
923.1,1000,568.264479,0.026,0.0552637588490523
914.6,1000,572.18327,0.028,0.06491352760009476
945.3,1000,575.939041,0.012,0.02957121734844751
912.4,1000,579.624958,0.029,0.06737841043890866
926.6,1000,583.500161,0.022,0.05137070881699185
926.3,1000,587.083081,0.022,0.04504283965728274
932.7,1000,590.737268,0.019,0.0394583236049498
925.3,1000,594.702223,0.021,0.04358124111795358
929.6,1000,598.466959,0.021,0.03727753727753728
926.1,1000,602.331427,0.024,0.047936085219707054
908.0,1000,606.29194,0.032,0.06679621083313092
960.1,1000,610.035233,0.006,0.013493253373313344
949.2,1000,613.885002,0.012,0.02806361085126286
919.9,1000,617.716788,0.028,0.057655954631379965
909.0,1000,621.619608,0.033,0.07222222222222222
951.6,1000,625.518624,0.011,0.0246328754144955
918.5,1000,629.048777,0.027,0.05345687811831789
934.9,1000,632.824824,0.018,0.039935735597888454
902.2,1000,636.78342,0.036,0.07422243166823751
912.7,1000,640.658819,0.03,0.06536890170632059
914.6,1000,644.691732,0.031,0.06043065524426951
907.8,1000,648.399899,0.033,0.06281347026510628
924.0,1000,652.135676,0.024,0.05288232491662696
948.4,1000,656.060616,0.012,0.027945971122496506
926.8,1000,659.934078,0.024,0.0489853044086774
929.3,1000,663.91964,0.022,0.048983364140480594
930.1,1000,667.787014,0.023,0.04778972520908005
924.9,1000,671.449724,0.023,0.0469248291571754
937.2,1000,675.483757,0.016,0.036736641221374045
922.2,1000,679.233299,0.026,0.05576294913672422
940.9,1000,683.153906,0.016,0.033216374269005845
892.7,1000,687.153494,0.04,0.07539292730844793
928.4,1000,690.898583,0.023,0.05184304399524376
935.1,1000,694.851039,0.018,0.0313588850174216
951.2,1000,698.475059,0.009,0.021311863604072934
921.8,1000,702.386276,0.024,0.05496410002475861
942.0,1000,706.382517,0.013,0.02890031839333823
956.6,1000,710.133261,0.007,0.016458970138725604
931.8,1000,714.016613,0.022,0.04576816927322907
956.7,1000,717.704345,0.008,0.018792576932111817
941.0,1000,721.353236,0.014,0.03027564392227745
918.7,1000,725.286563,0.028,0.05601613264620211
923.9,1000,729.001941,0.025,0.05088339222614841
898.4,1000,733.568217,0.038,0.07198124267291911
930.1,1000,737.60877,0.022,0.046739892498247254
938.9,1000,741.764716,0.018,0.03584403003148462
908.2,1000,746.002241,0.033,0.07266520360887588
940.2,1000,749.716802,0.017,0.03949814126394052
945.1,1000,753.469194,0.015,0.03343833292948873
898.1,1000,757.337732,0.039,0.07613741875580315
960.7,1000,761.483946,0.005,0.010994502748625687
958.7,1000,765.56672,0.007,0.016
923.7,1000,769.469115,0.025,0.0591745400298359
924.6,1000,773.233993,0.027,0.05822485207100592
920.4,1000,777.286121,0.027,0.050615277455305314
950.3,1000,781.00121,0.013,0.029886719691491925
951.0,1000,785.022493,0.011,0.025839793281653745
947.2,1000,788.869915,0.015,0.035477767265846734
959.1,1000,792.76479,0.007,0.012835205134082053
937.4,1000,796.616967,0.019,0.03965750337990086
915.7,1000,800.249907,0.031,0.0504983388704319
941.1,1000,804.043157,0.016,0.034619883040935676
955.4,1000,807.917242,0.009,0.017699115044247787
948.6,1000,811.559084,0.014,0.027823240589198037
949.7,1000,815.433695,0.013,0.028265329382265784
939.6,1000,819.133737,0.016,0.03135970044465247
959.7,1000,822.933698,0.007,0.016412661195779603
965.3,1000,826.900229,0.004,0.009590026372572525
