#{"t_start": 1726061246.2145748, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
916.9,1000,11.17022,0.011,0.02603550295857988
880.1,1000,14.397039,0.037,0.08348880597014925
836.8,1000,17.618351,0.059,0.13333333333333333
833.9,1000,21.148801,0.061,0.13562210859508156
866.3,1000,24.713379,0.046,0.1019644527595884
841.2,1000,28.274876,0.059,0.12000933924819052
864.2,1000,32.651649,0.047,0.1038353601496726
856.3,1000,36.425028,0.052,0.11647254575707154
877.3,1000,40.457521,0.04,0.08522863299018434
863.2,1000,44.206579,0.047,0.10019361084220717
847.0,1000,47.881473,0.056,0.11804267161410019
849.4,1000,51.324582,0.054,0.11560418648905804
863.5,1000,54.839189,0.047,0.10035671819262783
866.3,1000,58.260037,0.046,0.10324413923750889
876.9,1000,61.774541,0.041,0.08744880751626115
853.2,1000,65.274251,0.053,0.1135632183908046
856.9,1000,68.776748,0.05,0.10801058455617031
859.8,1000,72.293525,0.049,0.11346817957572768
871.3,1000,76.094271,0.041,0.08716248223590715
873.3,1000,79.628767,0.04,0.08849557522123894
863.0,1000,83.126264,0.047,0.1
843.1,1000,87.023864,0.059,0.12436665131275909
859.5,1000,90.32541,0.049,0.10157535857042088
849.7,1000,93.844127,0.055,0.11689540937056318
849.0,1000,97.559607,0.055,0.10899694620624853
859.0,1000,100.926801,0.048,0.10401548137397194
854.0,1000,104.456753,0.052,0.11632699793908861
869.8,1000,108.090804,0.043,0.09203865623561897
872.6,1000,111.476217,0.04,0.08977673325499412
828.9,1000,115.125812,0.065,0.1387066541705717
844.6,1000,118.767368,0.058,0.1261046095056126
846.7,1000,122.207372,0.056,0.11835692736133674
791.4,1000,125.893854,0.085,0.16801221907047786
855.8,1000,129.552638,0.053,0.11600928074245939
826.6,1000,132.81591,0.067,0.13929652923363614
863.8,1000,136.456011,0.048,0.10417169037858694
861.4,1000,140.27544,0.048,0.10433504775900074
863.6,1000,144.047357,0.049,0.10880224141956572
857.9,1000,147.708255,0.049,0.10853454458522592
856.3,1000,151.208257,0.052,0.11684848484848485
869.0,1000,154.965384,0.044,0.09465301478953356
896.3,1000,158.643506,0.029,0.06148025537952235
847.3,1000,162.144871,0.056,0.11213368854444175
862.3,1000,165.907819,0.047,0.10431484115694642
858.8,1000,169.589239,0.048,0.10552763819095477
846.9,1000,172.824807,0.055,0.12142197599261312
838.9,1000,176.410212,0.06,0.12836438923395446
880.1,1000,179.949892,0.037,0.08312593330014932
843.9,1000,183.525676,0.056,0.11761971176197118
863.9,1000,187.157725,0.046,0.09958302673534461
811.0,1000,190.608099,0.075,0.15705719557195572
864.2,1000,194.190757,0.046,0.10488332932403176
892.6,1000,198.093758,0.03,0.06655652584375737
893.3,1000,201.543946,0.03,0.06562718175471259
884.4,1000,205.09263,0.035,0.08300395256916997
851.3,1000,208.859758,0.055,0.1222707423580786
856.7,1000,212.32715,0.051,0.1049195616693868
882.3,1000,215.977685,0.037,0.08053032163024798
846.5,1000,219.760748,0.055,0.12273496013529839
865.9,1000,223.063048,0.047,0.10034843205574913
857.2,1000,226.82679,0.051,0.10843085741581085
