#{"t_start": 1726061244.0345693, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
925.7,1000,13.350225,0.006,0.012781065088757397
868.2,1000,16.577045,0.046,0.09631529850746269
870.3,1000,19.798357,0.043,0.09523809523809523
856.1,1000,23.328807,0.049,0.11200389578767957
795.4,1000,26.892446,0.083,0.15855940130963517
790.7,1000,30.453887,0.085,0.17697875321036657
860.0,1000,34.831655,0.05,0.10570626753975679
846.0,1000,38.605033,0.057,0.10862847634894224
874.4,1000,42.637527,0.041,0.09097438352884846
884.0,1000,46.387624,0.037,0.0866408518877057
874.9,1000,50.061478,0.04,0.08580705009276438
871.5,1000,53.504587,0.041,0.08991436726926737
888.8,1000,57.019194,0.034,0.07372175980975029
849.5,1000,60.440042,0.056,0.11413686952403504
866.3,1000,63.953404,0.045,0.0963623223319682
873.0,1000,67.454256,0.042,0.09057471264367815
849.6,1000,70.956753,0.054,0.11931681501082511
873.5,1000,74.473531,0.04,0.0897878638381845
851.3,1000,78.274276,0.054,0.11937470393178588
830.9,1000,81.808773,0.065,0.14111456589332697
860.5,1000,85.30627,0.049,0.1088785046728972
855.2,1000,89.20387,0.051,0.11008751727314602
839.6,1000,92.505416,0.06,0.13402304255819422
852.2,1000,96.024133,0.052,0.11097964978703266
863.5,1000,99.739612,0.045,0.09725158562367865
844.4,1000,103.106807,0.056,0.12336719883889695
867.2,1000,106.636759,0.044,0.08793221891458668
853.8,1000,110.27081,0.052,0.1155085135757018
855.5,1000,113.656223,0.052,0.11045828437132785
857.8,1000,117.305818,0.051,0.11387066541705718
882.6,1000,120.947374,0.037,0.08215906376880822
848.1,1000,124.387377,0.055,0.12137386864701787
845.0,1000,128.07386,0.058,0.11608116953960287
886.2,1000,131.732644,0.034,0.07470997679814385
847.1,1000,134.995916,0.055,0.11413929652923363
866.2,1000,138.636016,0.046,0.09959006510730649
899.0,1000,142.463593,0.027,0.06612784717119764
856.9,1000,146.226369,0.051,0.10343217371001634
851.3,1000,149.88826,0.052,0.11307673918240498
871.6,1000,153.387266,0.042,0.10036363636363636
861.5,1000,157.14644,0.047,0.10011376564277588
895.3,1000,160.823512,0.03,0.0666824308347127
883.9,1000,164.323864,0.035,0.07846936304189876
870.1,1000,168.087824,0.043,0.0948316737790422
876.3,1000,171.769244,0.04,0.08853792773390763
851.2,1000,175.006891,0.055,0.11172668513388735
849.1,1000,178.590218,0.055,0.10858063031976076
