#{"t_start": 1720712691.09772, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
974,1000,9.673194,0.013,0.025088757396449703
902,1000,11.903626,0.049,0.10121268656716417
912,1000,14.110802,0.044,0.09285714285714286
906,1000,16.308981,0.047,0.10567324080837594
862,1000,18.529003,0.069,0.14265668849391955
862,1000,20.726484,0.069,0.14732664020546346
896,1000,22.926495,0.052,0.11599625818521983
878,1000,25.157286,0.061,0.11552174946517708
916,1000,27.35498,0.042,0.08953794589418243
922,1000,29.549375,0.039,0.08857696030977735
932,1000,31.799595,0.034,0.07397959183673469
920,1000,34.013217,0.04,0.0922930542340628
936,1000,36.18771,0.032,0.07039239001189061
892,1000,38.36162,0.054,0.10963769831873076
924,1000,40.578648,0.038,0.08190797398217298
924,1000,42.770309,0.038,0.0832183908045977
894,1000,44.948352,0.053,0.11113783978830888
930,1000,47.150157,0.035,0.0833744449925999
890,1000,49.287093,0.055,0.12174324964471814
872,1000,51.454885,0.064,0.13657019851710117
910,1000,53.638636,0.045,0.09672897196261682
900,1000,55.806343,0.05,0.10962690004606172
894,1000,57.914181,0.053,0.11615330355043499
904,1000,60.05117,0.048,0.10080454330336015
892,1000,62.221966,0.054,0.11463471928588208
900,1000,64.372151,0.05,0.11030478955007257
914,1000,66.474334,0.043,0.0902221204488207
908,1000,68.59735,0.046,0.09894155545329038
910,1000,70.77781,0.045,0.09870740305522914
884,1000,72.911314,0.058,0.1239456419868791
934,1000,75.074653,0.033,0.07451636016240745
888,1000,77.272024,0.056,0.124390809932699
898,1000,79.438586,0.051,0.09949814531965961
932,1000,81.60172,0.034,0.07540603248259861
884,1000,83.799998,0.058,0.12252504076403448
898,1000,85.989758,0.051,0.11140583554376658
920,1000,88.128223,0.04,0.09061964241978937
888,1000,90.310737,0.056,0.1211767452720056
892,1000,92.482114,0.054,0.11451111642361941
910,1000,94.639934,0.045,0.10036363636363636
900,1000,96.88434,0.05,0.10284414106939704
928,1000,99.121117,0.036,0.07448569401749823
926,1000,101.300253,0.037,0.08379752966820053
914,1000,103.520446,0.043,0.09625414888572784
912,1000,105.700539,0.044,0.09954534577650155
886,1000,107.862934,0.057,0.12003693444136658
916,1000,110.057731,0.042,0.08143547273982056
914,1000,112.252444,0.043,0.0935788949726232
930,1000,114.446612,0.035,0.07577870757787075
902,1000,116.676416,0.049,0.10473387294579348
916,1000,118.962114,0.042,0.08948339483394833
926,1000,121.17617,0.037,0.07697859032956458
932,1000,123.37521,0.034,0.07033278262921878
912,1000,125.561051,0.044,0.09634628810798232
926,1000,127.750573,0.037,0.08176877470355731
912,1000,129.988257,0.044,0.09698919788554355
892,1000,132.157592,0.054,0.10865003497318722
914,1000,134.393488,0.043,0.09329732383992144
918,1000,136.649911,0.041,0.09470886687605702
896,1000,138.833624,0.052,0.11521486643437863
900,1000,141.004668,0.05,0.10747551946501074
894,1000,143.171344,0.053,0.10997267759562841
890,1000,145.310641,0.055,0.1075963980604941
900,1000,147.472819,0.05,0.10359116022099447
902,1000,149.666223,0.049,0.10633379565418401
900,1000,151.851572,0.05,0.11286347954657466
896,1000,153.989909,0.052,0.10808292569298858
880,1000,156.130644,0.06,0.12685560053981107
888,1000,158.35459,0.056,0.11855916030534351
924,1000,160.569679,0.038,0.0857616678512201
884,1000,162.745029,0.058,0.12385740402193784
896,1000,165.003046,0.052,0.11073253833049404
892,1000,167.294928,0.054,0.10592627158189453
868,1000,169.540655,0.066,0.14575289575289574
932,1000,171.820122,0.034,0.07719630594364196
894,1000,174.639235,0.053,0.10837671557027923
908,1000,178.544279,0.046,0.10272336359292882
888,1000,182.160363,0.056,0.1237739374124241
892,1000,185.107314,0.054,0.11208576998050682
916,1000,187.853535,0.042,0.09748057452319284
916,1000,190.356552,0.042,0.09946367625548513
874,1000,193.191978,0.063,0.13180901143241425
914,1000,196.612794,0.043,0.09287206872533085
904,1000,199.27844,0.048,0.1034965034965035
938,1000,201.816289,0.031,0.0672102792191747
908,1000,204.359291,0.046,0.10004653327128897
934,1000,206.90286,0.033,0.06329711856400567
888,1000,209.472939,0.056,0.11974110032362459
906,1000,212.004813,0.047,0.10476190476190476
894,1000,214.506139,0.053,0.11558503079109426
906,1000,217.145848,0.047,0.10526315789473684
876,1000,220.947667,0.062,0.12505910165484632
870,1000,224.282861,0.065,0.13798816568047337
910,1000,226.926035,0.045,0.08635164307987526
898,1000,229.396358,0.051,0.11662763466042154
920,1000,231.882696,0.04,0.08297972654408298
884,1000,234.41725,0.058,0.12201073694485115
924,1000,236.924153,0.038,0.08484270734032412
892,1000,239.359291,0.054,0.11853893866299105
894,1000,241.920584,0.053,0.11129528771015866
886,1000,245.261883,0.057,0.11683848797250859
892,1000,247.795875,0.054,0.1140094445693726
900,1000,250.436079,0.05,0.10300429184549356
890,1000,253.175692,0.055,0.11350958040261945
922,1000,255.933493,0.039,0.08373435996150144
918,1000,258.75299,0.041,0.0928735632183908
900,1000,261.338461,0.05,0.10877905664635522
904,1000,264.033323,0.048,0.10238153695065062
902,1000,266.576244,0.049,0.10378681626928471
936,1000,269.122481,0.032,0.06768558951965066
924,1000,271.63113,0.038,0.08498583569405099
884,1000,274.154929,0.058,0.11730945821854913
910,1000,276.685651,0.045,0.09746682750301568
854,1000,279.341836,0.073,0.15219817005132782
854,1000,281.825546,0.073,0.15424528301886792
884,1000,284.341985,0.058,0.1235632183908046
878,1000,286.872637,0.061,0.12135486765365634
932,1000,289.446094,0.034,0.07384320306880844
924,1000,291.89902,0.038,0.08736496007515265
940,1000,294.34057,0.03,0.06870229007633588
920,1000,296.949198,0.04,0.0904063476797307
896,1000,300.125132,0.052,0.10755258126195029
922,1000,304.015941,0.039,0.0882565710151917
904,1000,306.726891,0.048,0.10612054922038631
870,1000,309.36931,0.065,0.13458528951486698
906,1000,312.043283,0.047,0.10180780209324453
928,1000,314.507984,0.036,0.07845836200963524
920,1000,317.011795,0.04,0.08814219625030435
926,1000,319.520353,0.037,0.07824197053851727
904,1000,321.962003,0.048,0.10644929273555502
914,1000,324.544627,0.043,0.09067048437127177
930,1000,327.048515,0.035,0.07046979865771812
874,1000,329.488307,0.063,0.1289151157512483
902,1000,331.984043,0.049,0.10390848427073403
908,1000,334.422048,0.046,0.09997706947947718
916,1000,336.911726,0.042,0.0932791198277924
900,1000,339.298672,0.05,0.10609219365299977
932,1000,341.745161,0.034,0.07877358490566037
888,1000,344.166564,0.056,0.11585081585081584
924,1000,346.59174,0.038,0.07999103741877661
922,1000,349.014862,0.039,0.08514803034010276
906,1000,351.412447,0.047,0.0982080521293926
870,1000,353.869699,0.065,0.13546180159635118
938,1000,356.402034,0.031,0.06725706079463858
878,1000,358.817611,0.061,0.1263482280431433
930,1000,361.19795,0.035,0.07503642544924721
904,1000,363.660047,0.048,0.09878213802435724
886,1000,366.147353,0.057,0.11649558367152064
930,1000,368.524065,0.035,0.07648789318850419
930,1000,370.957956,0.035,0.0747060179847821
918,1000,373.399257,0.041,0.09088833066910254
946,1000,375.840239,0.027,0.058990760483297794
920,1000,378.323454,0.04,0.0941350418925579
954,1000,380.698341,0.023,0.048873072360616845
914,1000,383.210403,0.043,0.09212151148431712
918,1000,385.746552,0.041,0.08372093023255814
936,1000,388.24045,0.032,0.07261265468129816
944,1000,390.678509,0.028,0.060634770251065846
950,1000,393.189308,0.025,0.05387205387205387
920,1000,395.698064,0.04,0.08078118064802485
962,1000,398.235628,0.019,0.0446927374301676
954,1000,401.508863,0.023,0.0544727636181909
954,1000,405.254898,0.023,0.04677268475210477
930,1000,408.951608,0.035,0.07632325141776937
920,1000,412.529769,0.04,0.08564814814814815
956,1000,415.83314,0.022,0.05210800568450971
926,1000,418.952691,0.037,0.08315514373960561
920,1000,421.875772,0.04,0.0803305026394308
958,1000,424.657311,0.021,0.04948162111215834
920,1000,427.328676,0.04,0.08964191300168228
868,1000,429.996633,0.066,0.13058578374623755
960,1000,432.584314,0.02,0.04203486983520421
954,1000,435.062973,0.023,0.050023820867079564
924,1000,437.483656,0.038,0.0768514205868654
