#{"t_start": 1720712692.9382029, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
970,1000,7.832711,0.015,0.03408284023668639
922,1000,10.063143,0.039,0.08138992537313433
878,1000,12.270319,0.061,0.13380952380952382
892,1000,14.468498,0.054,0.1256391526661797
908,1000,16.68852,0.046,0.10056127221702525
908,1000,18.886001,0.046,0.10063039925286014
894,1000,21.086012,0.053,0.11506080449017773
880,1000,23.316803,0.06,0.1293082956976468
918,1000,25.514498,0.041,0.09193200861862581
900,1000,27.708892,0.05,0.10648596321393998
894,1000,29.959112,0.053,0.1138682745825603
890,1000,32.172734,0.055,0.120837297811608
894,1000,34.347227,0.053,0.11058263971462545
888,1000,36.521137,0.056,0.12124082405872602
914,1000,38.739144,0.043,0.09563960491447844
900,1000,40.929826,0.05,0.10896551724137932
910,1000,43.107869,0.045,0.09959105123887418
904,1000,45.309674,0.048,0.11174148988653182
898,1000,47.44661,0.051,0.10942681193747039
910,1000,49.614402,0.045,0.09614924659172447
914,1000,51.798153,0.043,0.09299065420560748
896,1000,53.96586,0.052,0.10663288807001382
914,1000,56.073698,0.043,0.09687279567364214
894,1000,58.210687,0.053,0.11121628017037388
886,1000,60.381483,0.057,0.11580925534413906
904,1000,62.531668,0.048,0.10377358490566038
884,1000,64.633852,0.058,0.12594458438287154
902,1000,66.756867,0.049,0.10032213529682467
920,1000,68.938306,0.04,0.08977673325499412
870,1000,71.070831,0.065,0.14175257731958762
896,1000,73.23417,0.052,0.119894912825412
876,1000,75.431541,0.062,0.12578324437224414
828,1000,77.598103,0.086,0.17281256818677723
884,1000,79.762235,0.058,0.12064965197215777
854,1000,81.959515,0.073,0.14488702539017004
886,1000,84.149275,0.057,0.1176754280202556
894,1000,86.28774,0.053,0.10972324271369091
892,1000,88.470254,0.054,0.11183749708148494
904,1000,90.641631,0.048,0.10757829309108295
892,1000,92.799451,0.054,0.11224242424242424
910,1000,95.044857,0.045,0.09146757679180888
932,1000,97.280634,0.034,0.0747221565381887
890,1000,99.45977,0.055,0.11092274158391863
902,1000,101.679963,0.049,0.10763394973921289
908,1000,103.85855,0.046,0.10433117970806413
898,1000,106.022451,0.051,0.1149584487534626
920,1000,108.217248,0.04,0.08925695882217621
932,1000,110.411961,0.034,0.08013937282229965
902,1000,112.606129,0.049,0.09786145978614598
904,1000,114.835933,0.048,0.10546970811871474
860,1000,117.121631,0.07,0.14852398523985239
906,1000,119.335687,0.047,0.10440221313447197
924,1000,121.534727,0.038,0.08402171347651641
918,1000,123.721535,0.041,0.0884337910169886
918,1000,125.91009,0.041,0.09140316205533597
878,1000,128.147774,0.061,0.13468168237186853
910,1000,130.317109,0.045,0.09186290510608533
922,1000,132.553005,0.039,0.0869138227350847
898,1000,134.809428,0.051,0.11113795602802609
904,1000,136.993141,0.048,0.09895470383275261
870,1000,139.164185,0.065,0.1380463338906138
876,1000,141.330861,0.062,0.1261384335154827
882,1000,143.470158,0.059,0.12121911798660817
