#{"t_start": 1720712694.7579167, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
978,1000,6.012997,0.011,0.024615384615384615
860,1000,8.243429,0.07,0.14878731343283583
886,1000,10.450605,0.057,0.12142857142857143
900,1000,12.649791,0.05,0.11443876308741173
918,1000,14.868806,0.041,0.08652946679139382
914,1000,17.066287,0.043,0.09479336913378474
878,1000,19.266298,0.061,0.12862488306828812
902,1000,21.497089,0.049,0.10316139767054909
892,1000,23.694784,0.054,0.11922432367728035
864,1000,25.889178,0.068,0.15295256534365925
918,1000,28.139399,0.041,0.09369202226345083
916,1000,30.35302,0.042,0.09276879162702188
910,1000,32.527513,0.045,0.09845422116527942
914,1000,34.701423,0.043,0.08572105138527114
930,1000,36.918451,0.035,0.07708985786557455
890,1000,39.110112,0.055,0.11448275862068966
936,1000,41.288155,0.032,0.07120519605484725
890,1000,43.48996,0.055,0.12382831771090282
890,1000,45.626896,0.055,0.11842728564661298
832,1000,47.794688,0.084,0.1679024156900263
868,1000,49.978439,0.066,0.14228971962616824
880,1000,52.146146,0.06,0.13265776140027638
896,1000,54.253984,0.052,0.11521279097107924
920,1000,56.390973,0.04,0.08637008991954567
896,1000,58.562712,0.052,0.1122856471693681
890,1000,60.711954,0.055,0.11151427189163038
920,1000,62.814138,0.04,0.08610029768719946
900,1000,64.937153,0.05,0.10676484123331799
900,1000,67.117613,0.05,0.11045828437132785
906,1000,69.251117,0.047,0.10379568884723524
908,1000,71.414456,0.046,0.10269882971101027
912,1000,73.612822,0.044,0.0951496867022511
870,1000,75.77932,0.065,0.12459087933667903
904,1000,77.941523,0.048,0.10580046403712297
896,1000,80.139801,0.052,0.10994642441183322
886,1000,82.329561,0.057,0.11936339522546419
890,1000,84.468026,0.055,0.12735733529267695
924,1000,86.650541,0.038,0.0789166472098996
898,1000,88.821918,0.051,0.11331580205594072
904,1000,90.979737,0.048,0.10618181818181818
898,1000,93.224143,0.051,0.10443686006825939
892,1000,95.461937,0.054,0.11444786001418775
890,1000,97.640057,0.055,0.12303221118914992
874,1000,99.86025,0.063,0.13513513513513514
930,1000,102.038836,0.035,0.07800909308446997
864,1000,104.202737,0.068,0.141735918744229
898,1000,106.397534,0.051,0.11042097998619738
942,1000,108.592247,0.029,0.06918865107018417
900,1000,110.786415,0.05,0.10460251046025104
890,1000,113.017163,0.055,0.12312975226882511
914,1000,115.301917,0.043,0.08902214022140222
886,1000,117.515973,0.057,0.12557132547510225
912,1000,119.715013,0.044,0.09181024309653056
916,1000,121.900855,0.042,0.09076099604375146
942,1000,124.090376,0.029,0.06373517786561265
886,1000,126.328061,0.057,0.1254883934727649
908,1000,128.497395,0.046,0.09046397761716017
908,1000,130.732258,0.046,0.10262705622391358
858,1000,132.989714,0.071,0.1485866151244262
926,1000,135.173428,0.037,0.08176538908246225
898,1000,137.344471,0.051,0.11034153331741103
874,1000,139.511147,0.063,0.13342440801457195
904,1000,141.650445,0.048,0.10320942045716924
878,1000,143.812622,0.061,0.12476979742173112
890,1000,146.007063,0.055,0.12020342117429496
900,1000,148.191375,0.05,0.11138491867915229
904,1000,150.329712,0.048,0.10761705101327743
914,1000,152.469439,0.043,0.08861898335582546
904,1000,154.694393,0.048,0.10687022900763359
922,1000,156.909482,0.039,0.0824449182658138
894,1000,159.084832,0.053,0.11151736745886655
910,1000,161.342849,0.045,0.09929423217327817
924,1000,163.634731,0.038,0.08002799813345778
884,1000,165.880458,0.058,0.12186293436293437
924,1000,168.159925,0.038,0.08785223774567842
910,1000,170.979039,0.045,0.08731661145291056
898,1000,174.885081,0.051,0.10009555661729574
898,1000,178.499207,0.051,0.10719290051377861
914,1000,181.447118,0.043,0.09746588693957114
904,1000,184.194304,0.048,0.10171886037202732
914,1000,186.697363,0.043,0.09751340809361288
902,1000,189.532647,0.049,0.10132257341403272
932,1000,192.952597,0.034,0.0761550963547713
880,1000,195.619918,0.06,0.1282051282051282
936,1000,198.156093,0.032,0.07165801828514949
884,1000,200.699094,0.058,0.12191717077710564
884,1000,203.242664,0.058,0.12423240434577232
898,1000,205.812742,0.051,0.11095700416088766
900,1000,208.344616,0.05,0.10404761904761904
892,1000,210.845942,0.054,0.11937470393178588
892,1000,213.486649,0.054,0.10974746282747226
874,1000,217.28747,0.063,0.1342789598108747
904,1000,220.622665,0.048,0.11171597633136095
870,1000,223.267354,0.065,0.13720316622691292
894,1000,225.736161,0.053,0.11850117096018735
890,1000,228.223542,0.055,0.123998114097124
912,1000,230.75806,0.044,0.09858467545143973
904,1000,233.263957,0.048,0.10152526215443279
900,1000,235.699095,0.05,0.11072823340225132
898,1000,238.261284,0.051,0.10821690741179256
920,1000,241.601686,0.04,0.09026345933562428
896,1000,244.136674,0.052,0.11558353946480773
904,1000,246.775882,0.048,0.10872675250357654
872,1000,249.516459,0.064,0.1348532621877274
910,1000,252.273296,0.045,0.09961501443695861
912,1000,255.092793,0.044,0.09241379310344827
918,1000,257.679265,0.041,0.08711351839313924
