#{"t_start": 1720712698.384385, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
968,1000,2.387526,0.016,0.03076923076923077
902,1000,4.618471,0.049,0.1044776119402985
914,1000,6.824137,0.043,0.09285714285714286
922,1000,9.023323,0.039,0.08619430241051863
884,1000,11.242337,0.058,0.1216089803554724
900,1000,13.439819,0.05,0.112537940695774
898,1000,15.640781,0.051,0.10664172123479888
908,1000,17.87062,0.046,0.10316139767054909
892,1000,20.068315,0.054,0.12449126167105579
924,1000,22.263792,0.038,0.08760890609874153
904,1000,24.51293,0.048,0.10157699443413729
922,1000,26.726552,0.039,0.08705994291151284
860,1000,28.901985,0.07,0.1450653983353151
892,1000,31.075935,0.054,0.10679611650485436
900,1000,33.292962,0.05,0.10479402553601541
862,1000,35.483644,0.069,0.13195402298850575
852,1000,37.661687,0.074,0.15227327399566995
906,1000,39.863492,0.047,0.10779477059694129
900,1000,42.001426,0.05,0.11416390336333491
918,1000,44.168219,0.041,0.08729968906960058
946,1000,46.352957,0.027,0.0630841121495327
918,1000,48.520626,0.041,0.09304467987102717
904,1000,50.628416,0.048,0.10463202445332706
920,1000,52.764505,0.04,0.08613345953620445
902,1000,54.936243,0.049,0.10946676062955132
896,1000,57.085485,0.052,0.1127237542331882
856,1000,59.187669,0.072,0.15021754064575224
884,1000,61.311689,0.058,0.11734928670041417
916,1000,63.492124,0.042,0.090951821386604
876,1000,65.624649,0.062,0.12582005623242737
908,1000,67.788985,0.046,0.09839980893240984
904,1000,69.986353,0.048,0.10095149686702251
870,1000,72.151921,0.065,0.12349989090115644
866,1000,74.316053,0.067,0.1345707656612529
912,1000,76.514332,0.044,0.09270906126252038
920,1000,78.704125,0.04,0.0877742946708464
880,1000,80.841558,0.06,0.12980651481753613
882,1000,83.024072,0.059,0.12748073780060706
880,1000,85.196394,0.06,0.12407363136504901
904,1000,87.353269,0.048,0.10715151515151515
872,1000,89.597674,0.064,0.1328782707622298
880,1000,91.834452,0.06,0.12485221092456845
908,1000,94.014567,0.046,0.10268830225236135
926,1000,96.23478,0.037,0.08487434803224277
906,1000,98.413873,0.047,0.10337401292175162
882,1000,100.576269,0.059,0.1265004616805171
920,1000,102.772069,0.04,0.07614446744881527
914,1000,104.965779,0.043,0.09308113489298159
890,1000,107.159947,0.055,0.12226871222687122
912,1000,109.390694,0.044,0.09860191317144959
902,1000,111.675449,0.049,0.09778597785977859
894,1000,113.889505,0.053,0.11907625691604523
936,1000,116.088544,0.032,0.07127684682558413
842,1000,118.274386,0.079,0.15894810332790318
948,1000,120.463908,0.026,0.06126482213438735
